id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,generic_name
1752712,65415cdc-ff5c-472e-9492-346e56e01b0e,2015-07-10 18:11:00,2015-07-10,2015-07-11 01:11:00 UTC,Pacific Time (US & Canada),9572,naturalisttrent,Trent,2015-07-13 18:48:12 UTC,2023-12-24 03:47:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1752712,https://static.inaturalist.org/photos/2127445/medium.jpg,,,,1,0,False,,"Mission Mountains Wilderness, Montana",47.454657,-113.862876,181.0,,,,181.0,,open,False,,,Westslope Cutthroat Trout,Oncorhynchus lewisi,Westslope Cutthroat Trout,Actinopterygii,1316403.0,Cutthroat Trout
1862105,489da713-6e6a-4d40-b31f-9103cec5a160,2015-07-12,2015-07-12,,Mountain Time (US & Canada),123480,bench,Ben Chorn,2015-08-14 22:08:50 UTC,2025-05-28 00:20:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1862105,https://inaturalist-open-data.s3.amazonaws.com/photos/2265841/medium.jpg,,"Cutthroat, Trout, Montana","Yellowstone Cutthroat trout caught on a lightning bug nymph fly fishing. Cloudy, windy, and occasional rain conditions. Air temperature around 70 degrees. ",2,0,False,,"Elk Lake, Montana",45.165216,-109.659106,46.0,,,,46.0,,open,False,,,Yellowstone Cutthroat Trout,Oncorhynchus virginalis bouvieri,Yellowstone Cutthroat Trout,Actinopterygii,1520370.0,Cutthroat Trout
1879159,6bb861ba-bd1e-40c8-b0ed-6b52bae8813a,2015-08-18,2015-08-18,,Mountain Time (US & Canada),125813,wdovervold,Wesley Dean Overvold,2015-08-21 17:44:48 UTC,2023-12-24 03:47:35 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1879159,https://inaturalist-open-data.s3.amazonaws.com/photos/2289898/medium.jpg,,,Caught on a Royal Wulf dry fly around 8:00pm.,2,0,False,,Gallatin River canyon,45.494417,-111.270553,5.0,,,,5.0,,open,False,,,Westslope Cutthroat Trout,Oncorhynchus lewisi,Westslope Cutthroat Trout,Actinopterygii,1316403.0,Cutthroat Trout
1894800,6a5d28f7-686a-44ed-9619-984d9d5bb7e5,2011-10-29,2011-10-29,,Pacific Time (US & Canada),121203,tenthousandhz,Daniel Palmer,2015-08-27 01:28:14 UTC,2024-06-04 15:56:10 UTC,casual,CC-BY-NC-SA,http://www.inaturalist.org/observations/1894800,,,,No photo.,0,0,False,,"Montana, US",45.0826230508,-110.9775044284,,,,,27222.0,obscured,,True,,,Cutthroat Trout,Oncorhynchus,Pacific Salmons and Trouts,Actinopterygii,47522.0,Unspecified
2495951,f09ebd44-d223-4906-974a-5e4915a07cc8,2015-06-26,2015-06-26,,Central Time (US & Canada),162936,don_draper_iii,,2015-12-22 15:37:03 UTC,2025-02-26 22:47:56 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2495951,https://inaturalist-open-data.s3.amazonaws.com/photos/2802590/medium.jpg,,,,4,1,False,,"Powell County, US-MT, US",47.1531411132,-112.9837601092,1447.0,,,,26903.0,obscured,open,True,,,Westslope Cutbow,Oncorhynchus mykiss × lewisi,Westslope Cutbow,Actinopterygii,1529904.0,Cutbow Hybrid
2496315,d3c0bad7-85ec-4ac0-994f-8da2e57b199c,2015-06-28,2015-06-28,,Central Time (US & Canada),162936,don_draper_iii,,2015-12-22 17:26:55 UTC,2023-12-24 03:47:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2496315,https://inaturalist-open-data.s3.amazonaws.com/photos/2802749/medium.jpg,,,,1,0,False,,"Lewis and Clark County, US-MT, US",47.1931176079,-112.8508678998,722.0,,,,26903.0,obscured,open,True,,,Westslope Cutthroat Trout,Oncorhynchus lewisi,Westslope Cutthroat Trout,Actinopterygii,1316403.0,Cutthroat Trout
3342166,3151d5dd-d1b0-432e-8475-ebbcd9ca9286,Sat May 28 2016 20:24:48 GMT-0600 (MDT),2016-05-28,2016-05-29 02:24:48 UTC,Mountain Time (US & Canada),231584,montanaclan,Brendan Moynahan,2016-05-30 20:49:06 UTC,2020-09-26 22:07:40 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3342166,https://static.inaturalist.org/photos/3859146/medium.jpg,,,,2,0,False,3.0,"Granite County, US-MT, US",46.4008783333,-113.6886216667,,,,,,,open,False,,,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518.0,Brown Trout
3714748,2984358c-e875-4c23-b67c-7a3fb2614b26,2011-09-21 10:44:34,2011-09-21,2011-09-21 16:44:34 UTC,Mountain Time (US & Canada),3499,bryanto,,2016-07-21 16:41:05 UTC,2023-12-24 03:47:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3714748,https://inaturalist-open-data.s3.amazonaws.com/photos/4316745/medium.jpg,,,"Caught and released,lifer",1,0,False,,"Flathead County, US-MT, US",48.7468253046,-114.2879154593,1867.0,,,,26646.0,obscured,open,True,,manual,Westslope Cutthroat Trout,Oncorhynchus lewisi,Westslope Cutthroat Trout,Actinopterygii,1316403.0,Cutthroat Trout
3718444,73d852fc-1049-4804-8396-8cc3e6c5fc29,2011-09-23 10:22:38,2011-09-23,2011-09-23 16:22:38 UTC,Mountain Time (US & Canada),3499,bryanto,,2016-07-22 01:15:13 UTC,2025-08-30 17:28:49 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3718444,https://inaturalist-open-data.s3.amazonaws.com/photos/165674/medium.jpg,,,"First time I have caught one of these charr. They are threatened and have become rare,and all fish must be immediately release,as I did here.",3,0,False,,"Flathead County, US-MT, US",48.7164519487,-114.3201902007,3196.0,,,,26646.0,obscured,open,True,,manual,Bull Trout,Salvelinus confluentus,Bull Trout,Actinopterygii,111978.0,Bull Trout
3852483,5a58c28e-a9af-417d-81c2-7b57d6f3096c,2016-08-10 10:18:53 AM MDT,2016-08-10,2016-08-10 16:18:53 UTC,Mountain Time (US & Canada),282131,jeffg,,2016-08-10 17:31:49 UTC,2024-09-21 20:43:29 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3852483,https://inaturalist-open-data.s3.amazonaws.com/photos/4512291/medium.jpeg,,,From the lake St Mary fish survey,3,0,False,2.0,"Browning, MT 59417",48.7186927795,-113.4722595215,,,,,,,,False,gps,gps,Lake Trout,Salvelinus namaycush,Lake Trout,Actinopterygii,111991.0,Lake Trout
3852505,78196641-54d5-4345-8ba1-5ecb6c9054f6,2016-08-10 11:31:06 AM MDT,2016-08-10,2016-08-10 17:31:06 UTC,Mountain Time (US & Canada),279399,t1903asm,,2016-08-10 17:33:59 UTC,2025-08-30 17:29:14 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3852505,https://inaturalist-open-data.s3.amazonaws.com/photos/4512326/medium.jpeg,,,,4,0,False,2.0,"Browning, MT 59417",48.71872636,-113.47235162,5.0,,,,5.0,,open,False,,,Lake Trout,Salvelinus namaycush,Lake Trout,Actinopterygii,111991.0,Lake Trout
3977611,c3b208a4-0220-4588-996d-54e780114f4f,Sat Aug 27 2016 09:09:34 GMT-0600 (MDT),2016-08-27,2016-08-27 15:09:34 UTC,Mountain Time (US & Canada),288443,rebecca60,Rebecca Spring,2016-08-28 02:31:32 UTC,2024-09-14 23:38:14 UTC,research,,http://www.inaturalist.org/observations/3977611,https://static.inaturalist.org/photos/4691974/medium.jpg,,,,4,0,False,3.0,"59482, Sunburst, MT, US",48.8136643375,-111.7130966852,388.0,,,,388.0,,,False,,,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516.0,Rainbow Trout
3998954,42a3e8d3-e5ca-4560-9cd7-c4485ff85911,Thu Aug 25 2016 18:41:52 GMT-0600 (MDT),2016-08-25,2016-08-26 00:41:52 UTC,Mountain Time (US & Canada),92171,a_meyer,Annie Meyer,2016-08-31 00:49:18 UTC,2025-08-30 17:29:06 UTC,research,,http://www.inaturalist.org/observations/3998954,https://static.inaturalist.org/photos/4723431/medium.jpg,,,,2,0,False,3.0,"Glacier National Park, East Glacier Park, MT, US",48.4816604344,-113.3853185584,6264.0,,,,6264.0,,open,False,,,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596.0,Brook Trout
4000335,2e64a23f-ef8a-4af5-836b-055c43b71e3f,Tue Aug 23 2016 18:23:21 GMT-0600 (MDT),2016-08-23,2016-08-24 00:23:21 UTC,Mountain Time (US & Canada),92171,a_meyer,Annie Meyer,2016-08-31 04:50:50 UTC,2025-07-30 19:35:26 UTC,research,,http://www.inaturalist.org/observations/4000335,https://static.inaturalist.org/photos/4724633/medium.jpg,,,,7,2,False,3.0,"Glacier National Park, East Glacier Park, MT, US",48.5137783333,-113.4599833333,,,,,,,open,False,,,Yellowstone Cutthroat Trout,Oncorhynchus virginalis bouvieri,Yellowstone Cutthroat Trout,Actinopterygii,1520370.0,Cutthroat Trout
4513411,0b344138-cb84-42e0-a032-22b3bece09df,2014/07/27 10:09 AM CDT,2014-07-27,2014-07-27 15:09:00 UTC,Central Time (US & Canada),188597,gonodactylus,Mathew Zappa,2016-11-07 18:59:18 UTC,2025-05-28 00:20:32 UTC,research,CC-BY,http://www.inaturalist.org/observations/4513411,https://inaturalist-open-data.s3.amazonaws.com/photos/5461556/medium.jpg,,,,3,0,False,,"Gallatin National Forest, Livingston, MT, US",45.3594676803,-110.3505072654,19.0,,,,19.0,,open,False,,,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977.0,Cutthroat Trout
5069220,9f4ac96b-1c41-47b0-bf2d-130dab3122f5,2010-07-25,2010-07-25,,Mountain Time (US & Canada),231584,montanaclan,Brendan Moynahan,2017-02-07 18:36:05 UTC,2023-12-24 03:47:37 UTC,research,CC-BY,https://www.inaturalist.org/observations/5069220,https://static.inaturalist.org/photos/6220233/medium.jpeg,,,OLYMPUS DIGITAL CAMERA,2,0,False,,"Powell County, MT, USA",47.0280143486,-113.2855224609,4246.0,,,,4246.0,,open,False,,,Westslope Cutthroat Trout,Oncorhynchus lewisi,Westslope Cutthroat Trout,Actinopterygii,1316403.0,Cutthroat Trout
6739008,38923a0c-8645-4342-a1a0-f470bd608f10,Sun Jun 18 2017 18:50:52 GMT-0600 (MDT),2017-06-18,2017-06-19 00:50:52 UTC,Mountain Time (US & Canada),375914,tamarasatterwhite,,2017-06-21 03:46:18 UTC,2024-09-14 23:38:12 UTC,research,,https://www.inaturalist.org/observations/6739008,https://static.inaturalist.org/photos/8557654/medium.jpg,,,,3,0,False,3.0,"Gallatin National Forest, Gallatin Gateway, MT, US",45.5420633333,-111.0267861667,,,,,,,,False,,,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516.0,Rainbow Trout
6739015,fe37168e-daf3-4e63-954c-646f805458fb,Sun Jun 18 2017 16:28:56 GMT-0600 (MDT),2017-06-18,2017-06-18 22:28:56 UTC,Mountain Time (US & Canada),375914,tamarasatterwhite,,2017-06-21 03:47:06 UTC,2023-04-27 13:13:33 UTC,research,,https://www.inaturalist.org/observations/6739015,https://static.inaturalist.org/photos/8557697/medium.jpg,,,,6,0,False,3.0,"Gallatin County, US-MT, US",45.64103,-111.0306471667,,,,,,,open,False,,,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518.0,Brown Trout
6880211,2852f550-d3c2-42c0-96d1-5c6e3b0b6cff,Sat Jul 01 2017 12:46:47 GMT-0600 (MDT),2017-07-01,2017-07-01 18:46:47 UTC,Mountain Time (US & Canada),135019,madcap3693,Chris Henrickson,2017-07-02 00:39:25 UTC,2024-09-14 23:38:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6880211,https://inaturalist-open-data.s3.amazonaws.com/photos/8774734/medium.jpg,,,,2,0,False,3.0,"5200–5299 Rolly Rd, Conner, MT, US",45.91655,-114.1030721667,,,,,,,,False,,,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516.0,Rainbow Trout
6880251,61cfb8e2-a646-4258-92b0-89f37f4fcfad,Fri Jun 30 2017 19:43:50 GMT-0600 (MDT),2017-06-30,2017-07-01 01:43:50 UTC,Mountain Time (US & Canada),135019,madcap3693,Chris Henrickson,2017-07-02 00:41:46 UTC,2023-12-24 05:32:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6880251,https://inaturalist-open-data.s3.amazonaws.com/photos/8774802/medium.jpg,,,,1,0,False,3.0,"Lolo National Forest, Drummond, MT, US",46.55598,-113.7129216667,,,,,,,open,False,,,Westslope Cutthroat Trout,Oncorhynchus lewisi,Westslope Cutthroat Trout,Actinopterygii,1316403.0,Cutthroat Trout
6880292,26860418-b519-41ee-b9bc-4f1f56549591,Fri Jun 30 2017 17:14:08 GMT-0600 (MDT),2017-06-30,2017-06-30 23:14:08 UTC,Mountain Time (US & Canada),135019,madcap3693,Chris Henrickson,2017-07-02 00:43:37 UTC,2020-10-01 12:50:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6880292,https://inaturalist-open-data.s3.amazonaws.com/photos/8774858/medium.jpg,,,,2,0,False,3.0,"Lolo National Forest, Clinton, MT, US",46.5118333333,-113.7712033333,,,,,,,open,False,,,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518.0,Brown Trout
6880306,d493bd39-84be-4fa9-a86e-b7180408dfa2,Fri Jun 30 2017 19:29:04 GMT-0600 (MDT),2017-06-30,2017-07-01 01:29:04 UTC,Mountain Time (US & Canada),135019,madcap3693,Chris Henrickson,2017-07-02 00:44:29 UTC,2023-12-24 05:32:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6880306,https://inaturalist-open-data.s3.amazonaws.com/photos/8774882/medium.jpg,,,,2,0,False,3.0,"Lolo National Forest, Drummond, MT, US",46.5559083333,-113.712845,,,,,,,open,False,,,Westslope Cutthroat Trout,Oncorhynchus lewisi,Westslope Cutthroat Trout,Actinopterygii,1316403.0,Cutthroat Trout
6889983,8e154a30-d59f-4100-a168-a71352b6dfe9,Sun Jul 02 2017 11:42:11 GMT-0600 (MDT),2017-07-02,2017-07-02 17:42:11 UTC,Mountain Time (US & Canada),135019,madcap3693,Chris Henrickson,2017-07-02 18:54:12 UTC,2023-12-24 05:32:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6889983,https://inaturalist-open-data.s3.amazonaws.com/photos/8789766/medium.jpg,,,,1,0,False,3.0,"11237–11277 Camebridge Rd, Missoula, MT, US",46.8879383333,-113.84082,,,,,,,open,False,,,Westslope Cutthroat Trout,Oncorhynchus lewisi,Westslope Cutthroat Trout,Actinopterygii,1316403.0,Cutthroat Trout
6890003,f66b79dd-3bd4-459f-bad7-8597d1af0bcf,Sun Jul 02 2017 10:01:14 GMT-0600 (MDT),2017-07-02,2017-07-02 16:01:14 UTC,Mountain Time (US & Canada),135019,madcap3693,Chris Henrickson,2017-07-02 18:56:33 UTC,2024-09-14 23:38:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6890003,https://inaturalist-open-data.s3.amazonaws.com/photos/8789795/medium.jpg,,,,2,0,False,3.0,"13701–13799 Camebridge Rd, Bonner, MT, US",46.8957366667,-113.8075716667,,,,,,,,False,,,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516.0,Rainbow Trout
6895485,718bc236-e3db-4d0f-87fe-5ca72cd3d773,Sun Jul 02 2017 15:19:48 GMT-0600 (MDT),2017-07-02,2017-07-02 21:19:48 UTC,Mountain Time (US & Canada),135019,madcap3693,Chris Henrickson,2017-07-03 00:59:31 UTC,2020-10-01 12:50:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6895485,https://inaturalist-open-data.s3.amazonaws.com/photos/8797984/medium.jpg,,,,2,0,False,3.0,"I-90 W, Missoula, MT, US",46.8718808848,-113.8863641394,89.0,,,,89.0,,open,False,,,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518.0,Brown Trout
6923737,0c7620e6-b487-4f0d-a7a5-032d8bfa68bd,Tue Jul 04 2017 15:20:45 GMT-0600 (MDT),2017-07-04,2017-07-04 21:20:45 UTC,Mountain Time (US & Canada),135019,madcap3693,Chris Henrickson,2017-07-05 00:36:19 UTC,2023-12-24 05:32:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6923737,https://inaturalist-open-data.s3.amazonaws.com/photos/8842407/medium.jpg,,,,1,0,False,3.0,"11702 Camebridge Rd, Missoula, MT, US",46.89027,-113.8379883333,,,,,,,open,False,,,Westslope Cutthroat Trout,Oncorhynchus lewisi,Westslope Cutthroat Trout,Actinopterygii,1316403.0,Cutthroat Trout
6923793,6f3f2c52-a236-413f-982b-1af42eaa2ab4,Mon Jul 03 2017 10:09:50 GMT-0600 (MDT),2017-07-03,2017-07-03 16:09:50 UTC,Mountain Time (US & Canada),135019,madcap3693,Chris Henrickson,2017-07-05 00:42:02 UTC,2024-09-14 23:38:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6923793,https://inaturalist-open-data.s3.amazonaws.com/photos/8842530/medium.jpg,,,,2,0,False,3.0,"59808, Missoula, MT, US",46.9665333333,-114.2245716667,,,,,,,,False,,,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516.0,Rainbow Trout
6973625,70543be0-2f15-4e4e-93d5-b0cf277bbf96,Wed Jul 05 2017 14:26:11 GMT-0400 (EDT),2017-07-05,2017-07-05 18:26:11 UTC,Eastern Time (US & Canada),135019,madcap3693,Chris Henrickson,2017-07-09 00:21:24 UTC,2024-09-14 23:35:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6973625,https://inaturalist-open-data.s3.amazonaws.com/photos/8922195/medium.jpg,,,,3,0,False,3.0,"Missouri River, Wolf Creek, MT, US",47.0012472217,-112.0011527783,,,,,,,,False,,,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516.0,Rainbow Trout
6973670,4f86c9d1-0894-4315-b7a1-41d9cc82eba3,Wed Jul 05 2017 13:34:02 GMT-0400 (EDT),2017-07-05,2017-07-05 17:34:02 UTC,Eastern Time (US & Canada),135019,madcap3693,Chris Henrickson,2017-07-09 00:24:31 UTC,2024-09-14 23:35:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6973670,https://inaturalist-open-data.s3.amazonaws.com/photos/8922298/medium.jpg,,,,3,0,False,3.0,"1309–1363 Holter Dam Rd, Wolf Creek, MT, US",46.9962,-112.009675,,,,,,,,False,,,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516.0,Rainbow Trout
6973710,c3d9de5f-6634-440a-adab-76a971084036,Mon Jul 03 2017 11:01:44 GMT-0400 (EDT),2017-07-03,2017-07-03 15:01:44 UTC,Eastern Time (US & Canada),135019,madcap3693,Chris Henrickson,2017-07-09 00:27:15 UTC,2024-09-14 23:35:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6973710,https://inaturalist-open-data.s3.amazonaws.com/photos/8922355/medium.jpg,,,,2,0,False,3.0,"S Side Rd, Alberton, MT, US",46.9332966667,-114.210495,,,,,,,,False,,,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516.0,Rainbow Trout
7082650,cda7e0ad-c721-4749-b7d9-97cf0792e5b3,2017/07/09 1:18 PM MDT,2017-07-09,2017-07-09 19:18:00 UTC,Mountain Time (US & Canada),393377,pagophila,Nicholas Sly,2017-07-17 00:39:42 UTC,2017-07-18 14:32:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7082650,https://inaturalist-open-data.s3.amazonaws.com/photos/9097482/medium.jpeg,,,,1,0,False,,"Glacier NP -- Running Eagle Falls Trail, Glacier County, MT, USA",48.4967399931,-113.3488440514,171.0,,,,171.0,,,False,,,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596.0,Brook Trout
7180508,45b16be2-1e5e-4854-bce9-ebe5cb6aef33,Fri Jul 21 2017 10:25:20 GMT-0600 (MDT),2017-07-21,2017-07-21 16:25:20 UTC,Mountain Time (US & Canada),231584,montanaclan,Brendan Moynahan,2017-07-24 00:18:40 UTC,2024-09-14 23:35:39 UTC,research,CC-BY,https://www.inaturalist.org/observations/7180508,https://static.inaturalist.org/photos/9272839/medium.jpeg,,,,2,0,False,3.0,"401–533 Jack Creek Rd, Ennis, MT, US",45.3524827911,-111.5534219519,5.0,,,,5.0,,,False,,,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516.0,Rainbow Trout
